epoch,train_loss,val_dice,learning_rate,epoch_time
1,0.10504992421651381,0.9907371401786804,9.997532801828658e-05,536.7709090709686
2,0.014963577661305405,0.9944635033607483,9.990133642141359e-05,519.6636002063751
3,0.009086839090951405,0.9950180649757385,9.977809823015401e-05,517.3043186664581
4,0.007378268949931496,0.9960196018218994,9.960573506572391e-05,516.9568707942963
5,0.006469169434355206,0.9959807395935059,9.93844170297569e-05,516.764662027359
6,0.005910615611406588,0.9963117241859436,9.911436253643445e-05,516.8907542228699
7,0.005598057129757894,0.9963509440422058,9.879583809693738e-05,517.2304434776306
8,0.005402835263102011,0.9963281750679016,9.842915805643157e-05,517.2301998138428
9,0.005274874126481697,0.9964210391044617,9.801468428384717e-05,516.6297965049744
10,0.005117148046450909,0.9964383244514465,9.75528258147577e-05,516.5776832103729
11,0.004949010034827881,0.9962777495384216,9.70440384477113e-05,516.8063673973083
12,0.004934825955007599,0.9964436292648315,9.64888242944126e-05,517.531679391861
13,0.005017970053592949,0.9964585304260254,9.588773128419907e-05,516.6985905170441
14,0.004733733869845039,0.9965693950653076,9.5241352623301e-05,516.7524151802063
15,0.0044471235860415684,0.996609628200531,9.455032620941843e-05,516.8822293281555
16,0.004280726428399896,0.9965759515762329,9.381533400219321e-05,517.1949157714844
17,0.004508563607125889,0.9964845180511475,9.303710135019722e-05,517.6015565395355
18,0.0044434269932891735,0.9966546297073364,9.22163962751008e-05,516.8125665187836
19,0.0040522008046393965,0.9966135621070862,9.135402871372814e-05,516.7648286819458
20,0.003915976393992268,0.9966840147972107,9.045084971874742e-05,517.3591885566711
21,0.003822660379876346,0.9966550469398499,8.950775061878456e-05,516.9990320205688
22,0.0038259881255765927,0.9964710474014282,8.852566213878951e-05,517.298567533493
23,0.004008952943063198,0.9964942932128906,8.750555348152303e-05,517.4674577713013
24,0.0037974882811942345,0.9966618418693542,8.644843137107063e-05,517.066570520401
25,0.0036528778545086692,0.9965957403182983,8.535533905932742e-05,517.1076393127441
26,0.0037091445051719266,0.9955731630325317,8.422735529643448e-05,517.100843667984
27,0.0034294948811484215,0.9966548085212708,8.306559326618263e-05,517.6614775657654
28,0.0035122121755424155,0.9966398477554321,8.187119948743452e-05,516.9871063232422
29,0.0033766650688309857,0.9966654181480408,8.064535268264887e-05,516.8744559288025
30,0.0032198680493590224,0.9965986609458923,7.938926261462371e-05,517.0670719146729
31,0.0032460751194978645,0.9965949654579163,7.810416889260659e-05,516.4839179515839
32,0.002988539710559569,0.9966658353805542,7.679133974894988e-05,516.9992821216583
33,0.0028633441618444422,0.9966164231300354,7.545207078751862e-05,517.2999215126038
